palabra,idioma
Edukiak,euskara
mugitu,euskara
alboko,euskara
barrara,euskara
ezkutatu,euskara
⇑,euskara
Gora,euskara
1,euskara
Izenak,euskara
eta,euskara
etimologia,euskara
Erakutsi/ezkutatu,euskara
Izenak,euskara
eta,euskara
etimologia,euskara
azpiatal,euskara
1.1,euskara
Euskal,euskara
Herria,euskara
1.2,euskara
Euskadi,euskara
1.3,euskara
Euskaria,euskara
1.4,euskara
Lurralde,euskara
zatiketa,euskara
1.5,euskara
Terminoen,euskara
erabilera,euskara
2,euskara
Geografia,euskara
fisikoa,euskara
Erakutsi/ezkutatu,euskara
Geografia,euskara
fisikoa,euskara
azpiatal,euskara
2.1,euskara
Geologia,euskara
2.2,euskara
Kostaldea,euskara
2.3,euskara
Mendiak,euskara
2.4,euskara
Ingurune,euskara
naturala,euskara
2.5,euskara
Ibaiak,euskara
2.6,euskara
Klima,euskara
3,euskara
Historia,euskara
Erakutsi/ezkutatu,euskara
Historia,euskara
azpiatal,euskara
3.1,euskara
Historiaurrea,euskara
3.2,euskara
Antzinaroa,euskara
3.2.1,euskara
Euskal,euskara
tribuak,euskara
Erromatarren,euskara
garaian,euskara
3.3,euskara
Erdi,euskara
Aroa,euskara
3.3.1,euskara
Baskoien,euskara
antolamendu,euskara
politikoa,euskara
3.3.2,euskara
Nafarroako,euskara
Erresuma,euskara
nazioarteko,euskara
jokoan,euskara
3.3.3,euskara
Bandoen,euskara
gerrak,euskara
3.4,euskara
Aro,euskara
Modernoa,euskara
3.4.1,euskara
Nafarroako,euskara
Erresumaren,euskara
konkistatik,euskara
Ameriketara,euskara
3.4.2,euskara
Jazarpenaren,euskara
"itzalean,",euskara
itsasoari,euskara
begira,euskara
3.4.3,euskara
Absolutismoaren,euskara
goraldia,euskara
3.5,euskara
Aro,euskara
Garaikidea,euskara
3.5.1,euskara
Frantses,euskara
Iraultzaren,euskara
astindua,euskara
3.5.2,euskara
Karlistaldiak,euskara
eta,euskara
foruen,euskara
amaiera,euskara
3.5.3,euskara
Industrializazio,euskara
masiboa,euskara
eta,euskara
"turismoa,",euskara
nazio,euskara
estatuen,euskara
pean,euskara
3.5.4,euskara
"Gerra,",euskara
diktadura,euskara
eta,euskara
kontsumoaren,euskara
gizartea,euskara
4,euskara
Demografia,euskara
Erakutsi/ezkutatu,euskara
Demografia,euskara
azpiatal,euskara
4.1,euskara
Hiriak,euskara
eta,euskara
udalerriak,euskara
4.2,euskara
Hizkuntzak,euskara
4.3,euskara
Erlijioak,euskara
5,euskara
Politika,euskara
Erakutsi/ezkutatu,euskara
Politika,euskara
azpiatal,euskara
5.1,euskara
Euskal,euskara
politika,euskara
5.2,euskara
Euskal,euskara
Herria,euskara
proiektu,euskara
politiko,euskara
gisa,euskara
